NOME_MES;ORGAO;NOME_ORGAO;SIGLA_ORGAO;APROVADA;DISTRIBUIDA;OCUPADA;VAGAS
jan 2016;26238;UNIVERSIDADE FEDERAL DE MINAS GERAIS;UFMG;7924;7851;7415;509
jan 2016;26239;UNIVERSIDADE FEDERAL DO PARA;UFPA;5508;5183;4899;609
jan 2016;26240;UNIVERSIDADE FEDERAL DA PARAIBA;UFPB;6559;6450;6111;448
jan 2016;26241;UNIVERSIDADE FEDERAL DO PARANA;UFPR;6561;6444;6234;327
jan 2016;26242;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;7014;6887;6668;346
jan 2016;26243;UNIVERSIDADE FED. DO RIO GRANDE DO NORTE;UFRN;5807;5706;5469;338
jan 2016;26244;UNIVERSIDADE FED. DO RIO GRANDE DO SUL;UFRGS/RS;5776;5657;5493;283
jan 2016;26245;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;14149;14047;13439;710
jan 2016;26246;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC;6011;5877;5642;369
jan 2016;26247;UNIVERSIDADE FEDERAL DE SANTA MARIA;UFSM/RS;4855;4737;4540;315
jan 2016;26248;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;UFRPE;2444;2379;2289;155
jan 2016;26249;UNIV. FEDERAL RURAL DO RIO DE JANEIRO;UFRRJ;2529;2480;2413;116
jan 2016;26250;UNIVERSIDADE FEDERAL DE RORAIMA;UFRR;1075;1001;958;117
jan 2016;26251;FUNDACAO UNIVERSIDADE FED. DO TOCANTINS;FUFT;1988;1840;1801;187
jan 2016;26252;UNIVERSIDADE FEDERAL DE CAMPINA GRANDE;UFCG;3208;3094;2962;246
jan 2016;26253;UNIVERSIDADE FEDERAL RURAL DA AMAZONIA;UFRA;1212;803;767;445
jan 2016;26254;UNIVERSIDADE FED.DO TRIANGULO MINEIRO;UFTM;2263;2140;2091;172
jan 2016;26255;UNI.FED.VALES DO JEQUITINHONHA E MUCURI;UFVJM;1479;1263;1218;261
jan 2016;26256;CENTRO FED.EDUC.TECNOL.CELSO S. FONSECA;CEFET/RJ;1581;1524;1470;111
jan 2016;26257;CENTRO FED.DE EDUC.TECNOL.MINAS GERAIS;CEFET/MG;1680;1651;1606;74
jan 2016;26258;UNIVERS. TECNOLOGICA FEDERAL DO PARANA;UTFPR;3839;3754;3648;191
jan 2016;26260;UNIVERSIDADE FEDERAL DE ALFENAS;UNIFAL-MG;917;863;836;81
jan 2016;26261;UNIVERSIDADE FEDERAL DE ITAJUBA;UNIFEI;897;885;853;44
jan 2016;26262;UNIVERSIDADE FEDERAL DE SAO PAULO;UNIFESP;5925;5696;5410;515
jan 2016;26263;UNIVERSIDADE FEDERAL DE LAVRAS;UFLA;1309;1258;1228;81
jan 2016;26264;UNIVERSIDADE FED. RURAL DO SEMI-ARIDO;UFERSA-RN;1284;1192;1172;112
jan 2016;26266;FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA;UNIPAMPA;1791;1642;1610;181
jan 2016;26267;UNIV.FED. DA INTEGRACAO LATINO-AMERICANA;UNILA;939;845;832;107
jan 2016;26268;FUND. UNIVERSIDADE FEDERAL DE RONDONIA;UNIR;1366;1333;1274;92
jan 2016;26269;UNIVERSIDADE DO RIO DE JANEIRO;UNIRIO;2511;2204;2102;409
jan 2016;26270;FUNDACAO UNIVERSIDADE DO AMAZONAS;FUAM;3543;3456;3208;335
jan 2016;26271;FUNDACAO UNIVERSIDADE DE BRASILIA;UNB;6125;5904;5583;542
jan 2016;26272;FUNDACAO UNIVERSIDADE DO MARANHAO;FUMA;3668;3555;3361;307
jan 2016;26273;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;2155;2073;2001;154
jan 2016;26274;FUNDACAO UNIV. FEDERAL DE UBERLANDIA;UFU;5253;5168;5055;198
jan 2016;26275;UNIVERSIDADE FEDERAL DO ACRE;UFAC;1535;1463;1411;124
jan 2016;26276;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;3700;3579;3443;257
jan 2016;26277;FUNDACAO UNIV. FEDERAL DE OURO PRETO;FUFOP;1814;1732;1684;130
jan 2016;26278;FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS;FUFPEL;2796;2767;2689;107
jan 2016;26279;UNIVERSIDADE FEDERAL DO PIAUI;UFPI;3131;3039;2947;184
jan 2016;26280;UNIVERSIDADE FEDERAL DE SAO CARLOS;FUFSCAR;2381;2314;2251;130
jan 2016;26281;FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE;FUFS;3092;3021;2942;150
jan 2016;26282;UNIVERSIDADE FEDERAL DE VICOSA;UFV;3754;3717;3626;128
jan 2016;26283;UNIV. FEDERAL DE MATO GROSSO DO SUL;UFMS;3611;3352;3344;267
jan 2016;26284;FUND.UNIV.FED.CIENC.SAUDE D PORTO ALEGRE;UFCSPA;570;558;539;31
jan 2016;26285;FUND. UNIVERSIDADE DE SAO JOAO DEL REI;FUNREI;1460;1391;1317;143
jan 2016;26286;FUNDACAO UNVERSIDADE FEDERAL DO AMAPA;UNIFAP;1188;1062;1031;157
jan 2016;26292;FUNDACAO JOAQUIM NABUCO;FJN;453;453;267;186
jan 2016;26298;FUND COORD APERF PESSOAL NIVEL SUPERIOR;CAPES;553;502;395;158
jan 2016;26350;FUND. UNIV FEDERAL DA GRANDE DOURADOS;UFGD;1586;1557;1491;95
jan 2016;26351;UNIV. FEDERAL DO RECONCAVO DA BAHIA;UFRB;1653;1458;1387;266
jan 2016;26352;FUNDACAO UNIVERSIDADE FEDERAL DO ABC;UFABC;1567;1395;1315;252
jan 2016;26401;INSTITUTO FEDERAL DO ACRE;IFAC;771;610;594;177
jan 2016;26402;INSTITUTO FEDERAL DE ALAGOAS;IFAL;1749;1550;1503;246
jan 2016;26403;INSTITUTO FEDERAL DO AMAZONAS;IFAM;1946;1744;1712;234
jan 2016;26404;INSTITUTO FEDERAL BAIANO;IFBAIANO;1724;1201;1161;563
jan 2016;26405;INSTITUTO FEDERAL DO CEARA;IFCE;3528;2768;2565;963
jan 2016;26406;INSTITUTO FEDERAL DO ESPIRITO SANTO;IFES;2771;2644;2586;185
jan 2016;26407;INSTITUTO FEDERAL GOIANO;IFGOIANO;1311;1269;1237;74
